region	chr	midPos	Nsites
(38962,39461)(39000,39499)(39000,39500)	Pt	39250	501	0.450608
(39062,39561)(39100,39599)(39100,39600)	Pt	39350	501	0.425099
(39162,39661)(39200,39699)(39200,39700)	Pt	39450	501	0.433045
(39262,39761)(39300,39799)(39300,39800)	Pt	39550	501	0.435793
(39362,39861)(39400,39899)(39400,39900)	Pt	39650	501	0.475012
(39462,39961)(39500,39999)(39500,40000)	Pt	39750	501	0.459335
(39562,40061)(39600,40099)(39600,40100)	Pt	39850	501	0.465093
(39662,40161)(39700,40199)(39700,40200)	Pt	39950	501	0.447281
(39762,40261)(39800,40299)(39800,40300)	Pt	40050	501	0.476258
(39862,40361)(39900,40399)(39900,40400)	Pt	40150	501	0.442390
(39962,40461)(40000,40499)(40000,40500)	Pt	40250	501	0.449834
(40062,40561)(40100,40599)(40100,40600)	Pt	40350	501	0.462334
(40162,40661)(40200,40699)(40200,40700)	Pt	40450	501	0.463692
(40262,40761)(40300,40799)(40300,40800)	Pt	40550	501	0.432210
(40362,40861)(40400,40899)(40400,40900)	Pt	40650	501	0.460999
(40462,40961)(40500,40999)(40500,41000)	Pt	40750	501	0.468168
(40562,41061)(40600,41099)(40600,41100)	Pt	40850	501	0.439089
(40662,41161)(40700,41199)(40700,41200)	Pt	40950	501	0.453226
(40762,41261)(40800,41299)(40800,41300)	Pt	41050	501	0.484604
(40862,41361)(40900,41399)(40900,41400)	Pt	41150	501	0.499247
(40962,41461)(41000,41499)(41000,41500)	Pt	41250	501	0.481673
(41062,41561)(41100,41599)(41100,41600)	Pt	41350	501	0.488604
(41162,41661)(41200,41699)(41200,41700)	Pt	41450	501	0.490509
(41262,41761)(41300,41799)(41300,41800)	Pt	41550	501	0.451100
(41362,41861)(41400,41899)(41400,41900)	Pt	41650	501	0.410326
(41462,41961)(41500,41999)(41500,42000)	Pt	41750	501	0.440223
(41562,42061)(41600,42099)(41600,42100)	Pt	41850	501	0.452336
(41662,42161)(41700,42199)(41700,42200)	Pt	41950	501	0.454757
(41762,42261)(41800,42299)(41800,42300)	Pt	42050	501	0.435643
(41862,42361)(41900,42399)(41900,42400)	Pt	42150	501	0.434295
(41962,42461)(42000,42499)(42000,42500)	Pt	42250	501	0.454517
(42062,42561)(42100,42599)(42100,42600)	Pt	42350	501	0.434209
(42162,42661)(42200,42699)(42200,42700)	Pt	42450	501	0.397709
(42262,42761)(42300,42799)(42300,42800)	Pt	42550	501	0.453678
(42362,42861)(42400,42899)(42400,42900)	Pt	42650	501	0.436397
(42462,42961)(42500,42999)(42500,43000)	Pt	42750	501	0.403116
(42562,43061)(42600,43099)(42600,43100)	Pt	42850	501	0.422096
(42662,43161)(42700,43199)(42700,43200)	Pt	42950	501	0.458749
(42762,43261)(42800,43299)(42800,43300)	Pt	43050	501	0.445060
(42862,43361)(42900,43399)(42900,43400)	Pt	43150	501	0.472310
(42962,43461)(43000,43499)(43000,43500)	Pt	43250	501	0.484776
(43062,43561)(43100,43599)(43100,43600)	Pt	43350	501	0.477882
(43162,43661)(43200,43699)(43200,43700)	Pt	43450	501	0.485066
(43262,43761)(43300,43799)(43300,43800)	Pt	43550	501	0.485407
(43362,43861)(43400,43899)(43400,43900)	Pt	43650	501	0.509056
(43462,43961)(43500,43999)(43500,44000)	Pt	43750	501	0.486187
(43562,44061)(43600,44099)(43600,44100)	Pt	43850	501	0.516582
(43662,44161)(43700,44199)(43700,44200)	Pt	43950	501	0.471271
(43762,44261)(43800,44299)(43800,44300)	Pt	44050	501	0.482020
(43862,44361)(43900,44399)(43900,44400)	Pt	44150	501	0.466649
(43962,44461)(44000,44499)(44000,44500)	Pt	44250	501	0.501837
(44062,44561)(44100,44599)(44100,44600)	Pt	44350	501	0.489726
(44162,44661)(44200,44699)(44200,44700)	Pt	44450	501	0.500387
(44262,44761)(44300,44799)(44300,44800)	Pt	44550	501	0.493398
(44362,44861)(44400,44899)(44400,44900)	Pt	44650	501	0.490287
(44462,44961)(44500,44999)(44500,45000)	Pt	44750	501	0.436659
(44562,45061)(44600,45099)(44600,45100)	Pt	44850	501	0.475716
(44662,45161)(44700,45199)(44700,45200)	Pt	44950	501	0.462266
(44762,45261)(44800,45299)(44800,45300)	Pt	45050	501	0.470905
(44862,45361)(44900,45399)(44900,45400)	Pt	45150	501	0.467958
(44962,45461)(45000,45499)(45000,45500)	Pt	45250	501	0.475363
(45062,45561)(45100,45599)(45100,45600)	Pt	45350	501	0.469312
(45162,45661)(45200,45699)(45200,45700)	Pt	45450	501	0.497798
(45262,45761)(45300,45799)(45300,45800)	Pt	45550	501	0.487784
(45362,45861)(45400,45899)(45400,45900)	Pt	45650	501	0.484217
(45462,45961)(45500,45999)(45500,46000)	Pt	45750	501	0.497448
(45562,46061)(45600,46099)(45600,46100)	Pt	45850	501	0.463451
(45662,46161)(45700,46199)(45700,46200)	Pt	45950	501	0.415190
(45762,46261)(45800,46299)(45800,46300)	Pt	46050	501	0.373810
(45862,46361)(45900,46399)(45900,46400)	Pt	46150	501	0.406720
(45962,46461)(46000,46499)(46000,46500)	Pt	46250	501	0.408620
(46062,46561)(46100,46599)(46100,46600)	Pt	46350	501	0.404377
(46162,46661)(46200,46699)(46200,46700)	Pt	46450	501	0.444533
(46262,46761)(46300,46799)(46300,46800)	Pt	46550	501	0.467153
(46362,46861)(46400,46899)(46400,46900)	Pt	46650	501	0.455319
(46462,46961)(46500,46999)(46500,47000)	Pt	46750	501	0.478836
(46562,47061)(46600,47099)(46600,47100)	Pt	46850	501	0.479815
(46662,47161)(46700,47199)(46700,47200)	Pt	46950	501	0.457144
(46762,47261)(46800,47299)(46800,47300)	Pt	47050	501	0.486210
(46862,47361)(46900,47399)(46900,47400)	Pt	47150	501	0.508711
(46962,47461)(47000,47499)(47000,47500)	Pt	47250	501	0.492793
(47062,47561)(47100,47599)(47100,47600)	Pt	47350	501	0.484177
(47162,47661)(47200,47699)(47200,47700)	Pt	47450	501	0.482850
(47262,47761)(47300,47799)(47300,47800)	Pt	47550	501	0.450811
(47362,47861)(47400,47899)(47400,47900)	Pt	47650	501	0.438307
(47462,47961)(47500,47999)(47500,48000)	Pt	47750	501	0.445129
(47562,48061)(47600,48099)(47600,48100)	Pt	47850	501	0.434258
(47662,48161)(47700,48199)(47700,48200)	Pt	47950	501	0.452219
(47762,48261)(47800,48299)(47800,48300)	Pt	48050	501	0.435548
(47862,48361)(47900,48399)(47900,48400)	Pt	48150	501	0.447556
(47962,48461)(48000,48499)(48000,48500)	Pt	48250	501	0.439186
(48062,48561)(48100,48599)(48100,48600)	Pt	48350	501	0.448542
(48162,48661)(48200,48699)(48200,48700)	Pt	48450	501	0.435405
(48262,48761)(48300,48799)(48300,48800)	Pt	48550	501	0.441427
(48362,48861)(48400,48899)(48400,48900)	Pt	48650	501	0.422599
(48462,48961)(48500,48999)(48500,49000)	Pt	48750	501	0.414315
(48562,49061)(48600,49099)(48600,49100)	Pt	48850	501	0.421481
(48662,49161)(48700,49199)(48700,49200)	Pt	48950	501	0.473001
(48762,49261)(48800,49299)(48800,49300)	Pt	49050	501	0.476026
(48862,49361)(48900,49399)(48900,49400)	Pt	49150	501	0.472075
(48962,49461)(49000,49499)(49000,49500)	Pt	49250	501	0.487122
(49062,49561)(49100,49599)(49100,49600)	Pt	49350	501	0.472871
(49162,49661)(49200,49699)(49200,49700)	Pt	49450	501	0.412606
(49262,49761)(49300,49799)(49300,49800)	Pt	49550	501	0.422991
(49362,49861)(49400,49899)(49400,49900)	Pt	49650	501	0.418717
(49462,49961)(49500,49999)(49500,50000)	Pt	49750	501	0.468967
(49562,50061)(49600,50099)(49600,50100)	Pt	49850	501	0.497084
(49662,50161)(49700,50199)(49700,50200)	Pt	49950	501	0.488554
(49762,50261)(49800,50299)(49800,50300)	Pt	50050	501	0.500920
(49862,50361)(49900,50399)(49900,50400)	Pt	50150	501	0.518066
(49962,50461)(50000,50499)(50000,50500)	Pt	50250	501	0.516368
(50062,50561)(50100,50599)(50100,50600)	Pt	50350	501	0.510635
(50162,50661)(50200,50699)(50200,50700)	Pt	50450	501	0.521929
(50262,50761)(50300,50799)(50300,50800)	Pt	50550	501	0.529347
(50362,50861)(50400,50899)(50400,50900)	Pt	50650	501	0.516007
(50462,50961)(50500,50999)(50500,51000)	Pt	50750	501	0.500000
(50562,51061)(50600,51099)(50600,51100)	Pt	50850	501	0.510156
(50662,51161)(50700,51199)(50700,51200)	Pt	50950	501	0.495679
(50762,51261)(50800,51299)(50800,51300)	Pt	51050	501	0.479330
(50862,51361)(50900,51399)(50900,51400)	Pt	51150	501	0.506634
(50962,51461)(51000,51499)(51000,51500)	Pt	51250	501	0.483211
(51062,51561)(51100,51599)(51100,51600)	Pt	51350	501	0.475059
(51162,51661)(51200,51699)(51200,51700)	Pt	51450	501	0.473967
(51262,51761)(51300,51799)(51300,51800)	Pt	51550	501	0.474065
(51362,51861)(51400,51899)(51400,51900)	Pt	51650	501	0.473410
(51462,51961)(51500,51999)(51500,52000)	Pt	51750	501	0.487222
(51562,52061)(51600,52099)(51600,52100)	Pt	51850	501	0.477565
(51662,52161)(51700,52199)(51700,52200)	Pt	51950	501	0.463507
(51762,52261)(51800,52299)(51800,52300)	Pt	52050	501	0.451055
(51862,52361)(51900,52399)(51900,52400)	Pt	52150	501	0.454630
(51962,52461)(52000,52499)(52000,52500)	Pt	52250	501	0.450093
(52062,52561)(52100,52599)(52100,52600)	Pt	52350	501	0.461431
(52162,52661)(52200,52699)(52200,52700)	Pt	52450	501	0.471856
(52262,52761)(52300,52799)(52300,52800)	Pt	52550	501	0.479911
(52362,52861)(52400,52899)(52400,52900)	Pt	52650	501	0.456497
(52462,52961)(52500,52999)(52500,53000)	Pt	52750	501	0.491764
(52562,53061)(52600,53099)(52600,53100)	Pt	52850	501	0.499423
(52662,53161)(52700,53199)(52700,53200)	Pt	52950	501	0.480253
(52762,53261)(52800,53299)(52800,53300)	Pt	53050	501	0.488294
(52862,53361)(52900,53399)(52900,53400)	Pt	53150	501	0.480956
(52962,53461)(53000,53499)(53000,53500)	Pt	53250	501	0.429859
(53062,53561)(53100,53599)(53100,53600)	Pt	53350	501	0.424776
(53162,53661)(53200,53699)(53200,53700)	Pt	53450	501	0.430270
(53262,53761)(53300,53799)(53300,53800)	Pt	53550	501	0.415982
(53362,53861)(53400,53899)(53400,53900)	Pt	53650	501	0.444570
(53462,53961)(53500,53999)(53500,54000)	Pt	53750	501	0.451827
(53562,54061)(53600,54099)(53600,54100)	Pt	53850	501	0.475190
(53662,54161)(53700,54199)(53700,54200)	Pt	53950	501	0.468472
(53762,54261)(53800,54299)(53800,54300)	Pt	54050	501	0.453921
(53862,54361)(53900,54399)(53900,54400)	Pt	54150	501	0.425142
(53962,54461)(54000,54499)(54000,54500)	Pt	54250	501	0.414275
(54062,54561)(54100,54599)(54100,54600)	Pt	54350	501	0.402901
(54162,54661)(54200,54699)(54200,54700)	Pt	54450	501	0.449254
(54262,54761)(54300,54799)(54300,54800)	Pt	54550	501	0.444759
(54362,54861)(54400,54899)(54400,54900)	Pt	54650	501	0.466334
(54462,54961)(54500,54999)(54500,55000)	Pt	54750	501	0.498741
(54562,55061)(54600,55099)(54600,55100)	Pt	54850	501	0.466180
(54662,55161)(54700,55199)(54700,55200)	Pt	54950	501	0.407667
(54762,55261)(54800,55299)(54800,55300)	Pt	55050	501	0.424853
(54862,55361)(54900,55399)(54900,55400)	Pt	55150	501	0.428844
(54962,55461)(55000,55499)(55000,55500)	Pt	55250	501	0.401386
(55062,55561)(55100,55599)(55100,55600)	Pt	55350	501	0.418411
(55162,55661)(55200,55699)(55200,55700)	Pt	55450	501	0.440584
(55262,55761)(55300,55799)(55300,55800)	Pt	55550	501	0.440177
(55362,55861)(55400,55899)(55400,55900)	Pt	55650	501	0.465640
(55462,55961)(55500,55999)(55500,56000)	Pt	55750	501	0.459689
(55562,56061)(55600,56099)(55600,56100)	Pt	55850	501	0.453192
(55662,56161)(55700,56199)(55700,56200)	Pt	55950	501	0.489340
(55762,56261)(55800,56299)(55800,56300)	Pt	56050	501	0.486975
(55862,56361)(55900,56399)(55900,56400)	Pt	56150	501	0.459215
(55962,56461)(56000,56499)(56000,56500)	Pt	56250	501	0.492264
(56062,56561)(56100,56599)(56100,56600)	Pt	56350	501	0.498127
(56162,56661)(56200,56699)(56200,56700)	Pt	56450	501	0.464651
(56262,56761)(56300,56799)(56300,56800)	Pt	56550	501	0.468738
(56362,56861)(56400,56899)(56400,56900)	Pt	56650	501	0.488000
(56462,56961)(56500,56999)(56500,57000)	Pt	56750	501	0.457617
(56562,57061)(56600,57099)(56600,57100)	Pt	56850	501	0.459783
(56662,57161)(56700,57199)(56700,57200)	Pt	56950	501	0.456487
(56762,57261)(56800,57299)(56800,57300)	Pt	57050	501	0.451606
(56862,57361)(56900,57399)(56900,57400)	Pt	57150	501	0.424413
(56962,57461)(57000,57499)(57000,57500)	Pt	57250	501	0.437456
(57062,57561)(57100,57599)(57100,57600)	Pt	57350	501	0.439765
(57162,57661)(57200,57699)(57200,57700)	Pt	57450	501	0.441465
(57262,57761)(57300,57799)(57300,57800)	Pt	57550	501	0.432232
(57362,57861)(57400,57899)(57400,57900)	Pt	57650	501	0.429643
(57462,57961)(57500,57999)(57500,58000)	Pt	57750	501	0.450271
(57562,58061)(57600,58099)(57600,58100)	Pt	57850	501	0.407483
(57662,58161)(57700,58199)(57700,58200)	Pt	57950	501	0.387262
(57762,58261)(57800,58299)(57800,58300)	Pt	58050	501	0.395709
(57862,58361)(57900,58399)(57900,58400)	Pt	58150	501	0.389979
(57962,58461)(58000,58499)(58000,58500)	Pt	58250	501	0.365982
(58062,58561)(58100,58599)(58100,58600)	Pt	58350	501	0.362042
(58162,58661)(58200,58699)(58200,58700)	Pt	58450	501	0.372795
(58262,58761)(58300,58799)(58300,58800)	Pt	58550	501	0.399304
(58362,58861)(58400,58899)(58400,58900)	Pt	58650	501	0.425500
(58462,58961)(58500,58999)(58500,59000)	Pt	58750	501	0.402361
(58562,59061)(58600,59099)(58600,59100)	Pt	58850	501	0.429587
(58662,59161)(58700,59199)(58700,59200)	Pt	58950	501	0.472360
(58762,59261)(58800,59299)(58800,59300)	Pt	59050	501	0.494188
(58862,59361)(58900,59399)(58900,59400)	Pt	59150	501	0.493579
(58962,59461)(59000,59499)(59000,59500)	Pt	59250	501	0.499395
(59062,59561)(59100,59599)(59100,59600)	Pt	59350	501	0.505746
(59162,59661)(59200,59699)(59200,59700)	Pt	59450	501	0.481025
(59262,59761)(59300,59799)(59300,59800)	Pt	59550	501	0.483797
(59362,59861)(59400,59899)(59400,59900)	Pt	59650	501	0.479393
(59462,59961)(59500,59999)(59500,60000)	Pt	59750	501	0.478355
(59562,60061)(59600,60099)(59600,60100)	Pt	59850	501	0.466372
(59662,60161)(59700,60199)(59700,60200)	Pt	59950	501	0.461474
(59762,60261)(59800,60299)(59800,60300)	Pt	60050	501	0.435614
(59862,60361)(59900,60399)(59900,60400)	Pt	60150	501	0.399457
(59962,60461)(60000,60499)(60000,60500)	Pt	60250	501	0.426124
(60062,60561)(60100,60599)(60100,60600)	Pt	60350	501	0.444221
(60162,60661)(60200,60699)(60200,60700)	Pt	60450	501	0.438337
(60262,60761)(60300,60799)(60300,60800)	Pt	60550	501	0.450520
(60362,60861)(60400,60899)(60400,60900)	Pt	60650	501	0.468889
(60462,60961)(60500,60999)(60500,61000)	Pt	60750	501	0.443927
(60562,61061)(60600,61099)(60600,61100)	Pt	60850	501	0.453438
(60662,61161)(60700,61199)(60700,61200)	Pt	60950	501	0.458901
(60762,61261)(60800,61299)(60800,61300)	Pt	61050	501	0.451032
(60862,61361)(60900,61399)(60900,61400)	Pt	61150	501	0.446195
(60962,61461)(61000,61499)(61000,61500)	Pt	61250	501	0.456438
(61062,61561)(61100,61599)(61100,61600)	Pt	61350	501	0.449018
(61162,61661)(61200,61699)(61200,61700)	Pt	61450	501	0.470967
(61262,61761)(61300,61799)(61300,61800)	Pt	61550	501	0.507801
(61362,61861)(61400,61899)(61400,61900)	Pt	61650	501	0.505544
(61462,61961)(61500,61999)(61500,62000)	Pt	61750	501	0.513516
(61562,62061)(61600,62099)(61600,62100)	Pt	61850	501	0.491487
(61662,62161)(61700,62199)(61700,62200)	Pt	61950	501	0.477380
(61762,62261)(61800,62299)(61800,62300)	Pt	62050	501	0.401698
(61862,62361)(61900,62399)(61900,62400)	Pt	62150	501	0.406159
(61962,62461)(62000,62499)(62000,62500)	Pt	62250	501	0.377714
(62062,62561)(62100,62599)(62100,62600)	Pt	62350	501	0.395895
(62162,62661)(62200,62699)(62200,62700)	Pt	62450	501	0.415452
(62262,62761)(62300,62799)(62300,62800)	Pt	62550	501	0.455050
(62362,62861)(62400,62899)(62400,62900)	Pt	62650	501	0.443098
(62462,62961)(62500,62999)(62500,63000)	Pt	62750	501	0.450606
(62562,63061)(62600,63099)(62600,63100)	Pt	62850	501	0.440869
(62662,63161)(62700,63199)(62700,63200)	Pt	62950	501	0.400733
(62762,63261)(62800,63299)(62800,63300)	Pt	63050	501	0.405050
(62862,63361)(62900,63399)(62900,63400)	Pt	63150	501	0.434410
(62962,63461)(63000,63499)(63000,63500)	Pt	63250	501	0.445393
(63062,63561)(63100,63599)(63100,63600)	Pt	63350	501	0.478148
(63162,63661)(63200,63699)(63200,63700)	Pt	63450	501	0.455604
(63262,63761)(63300,63799)(63300,63800)	Pt	63550	501	0.430155
(63362,63861)(63400,63899)(63400,63900)	Pt	63650	501	0.423933
(63462,63961)(63500,63999)(63500,64000)	Pt	63750	501	0.439350
(63562,64061)(63600,64099)(63600,64100)	Pt	63850	501	0.439188
(63662,64161)(63700,64199)(63700,64200)	Pt	63950	501	0.462040
(63762,64261)(63800,64299)(63800,64300)	Pt	64050	501	0.440860
(63862,64361)(63900,64399)(63900,64400)	Pt	64150	501	0.474817
(63962,64461)(64000,64499)(64000,64500)	Pt	64250	501	0.465369
(64062,64561)(64100,64599)(64100,64600)	Pt	64350	501	0.442179
(64162,64661)(64200,64699)(64200,64700)	Pt	64450	501	0.425075
(64262,64761)(64300,64799)(64300,64800)	Pt	64550	501	0.432706
(64362,64861)(64400,64899)(64400,64900)	Pt	64650	501	0.391846
(64462,64961)(64500,64999)(64500,65000)	Pt	64750	501	0.407973
(64562,65061)(64600,65099)(64600,65100)	Pt	64850	501	0.425610
(64662,65161)(64700,65199)(64700,65200)	Pt	64950	501	0.445905
(64762,65261)(64800,65299)(64800,65300)	Pt	65050	501	0.476836
(64862,65361)(64900,65399)(64900,65400)	Pt	65150	501	0.478146
(64962,65461)(65000,65499)(65000,65500)	Pt	65250	501	0.484287
(65062,65561)(65100,65599)(65100,65600)	Pt	65350	501	0.451179
(65162,65661)(65200,65699)(65200,65700)	Pt	65450	501	0.449993
(65262,65761)(65300,65799)(65300,65800)	Pt	65550	501	0.445599
(65362,65861)(65400,65899)(65400,65900)	Pt	65650	501	0.423019
(65462,65961)(65500,65999)(65500,66000)	Pt	65750	501	0.386985
(65562,66061)(65600,66099)(65600,66100)	Pt	65850	501	0.408702
(65662,66161)(65700,66199)(65700,66200)	Pt	65950	501	0.397587
(65762,66261)(65800,66299)(65800,66300)	Pt	66050	501	0.475419
(65862,66361)(65900,66399)(65900,66400)	Pt	66150	501	0.497383
(65962,66461)(66000,66499)(66000,66500)	Pt	66250	501	0.517917
(66062,66561)(66100,66599)(66100,66600)	Pt	66350	501	0.517618
(66162,66661)(66200,66699)(66200,66700)	Pt	66450	501	0.509175
(66262,66761)(66300,66799)(66300,66800)	Pt	66550	501	0.464893
(66362,66861)(66400,66899)(66400,66900)	Pt	66650	501	0.423355
(66462,66961)(66500,66999)(66500,67000)	Pt	66750	501	0.398488
(66562,67061)(66600,67099)(66600,67100)	Pt	66850	501	0.381997
(66662,67161)(66700,67199)(66700,67200)	Pt	66950	501	0.400261
(66762,67261)(66800,67299)(66800,67300)	Pt	67050	501	0.400559
(66862,67361)(66900,67399)(66900,67400)	Pt	67150	501	0.427581
(66962,67461)(67000,67499)(67000,67500)	Pt	67250	501	0.470108
(67062,67561)(67100,67599)(67100,67600)	Pt	67350	501	0.460019
(67162,67661)(67200,67699)(67200,67700)	Pt	67450	501	0.463489
(67262,67761)(67300,67799)(67300,67800)	Pt	67550	501	0.502232
(67362,67861)(67400,67899)(67400,67900)	Pt	67650	501	0.541988
(67462,67961)(67500,67999)(67500,68000)	Pt	67750	501	0.515336
(67562,68061)(67600,68099)(67600,68100)	Pt	67850	501	0.542322
(67662,68161)(67700,68199)(67700,68200)	Pt	67950	501	0.509899
(67762,68261)(67800,68299)(67800,68300)	Pt	68050	501	0.485548
(67862,68361)(67900,68399)(67900,68400)	Pt	68150	501	0.461486
(67962,68461)(68000,68499)(68000,68500)	Pt	68250	501	0.478585
(68062,68561)(68100,68599)(68100,68600)	Pt	68350	501	0.485686
(68162,68661)(68200,68699)(68200,68700)	Pt	68450	501	0.494571
(68262,68761)(68300,68799)(68300,68800)	Pt	68550	501	0.481252
(68362,68861)(68400,68899)(68400,68900)	Pt	68650	501	0.509968
(68462,68961)(68500,68999)(68500,69000)	Pt	68750	501	0.504093
(68562,69061)(68600,69099)(68600,69100)	Pt	68850	501	0.471368
(68662,69161)(68700,69199)(68700,69200)	Pt	68950	501	0.465950
(68762,69261)(68800,69299)(68800,69300)	Pt	69050	501	0.483162
(68862,69361)(68900,69399)(68900,69400)	Pt	69150	501	0.442219
(68962,69461)(69000,69499)(69000,69500)	Pt	69250	501	0.447994
(69062,69561)(69100,69599)(69100,69600)	Pt	69350	501	0.451937
(69162,69661)(69200,69699)(69200,69700)	Pt	69450	501	0.466629
(69262,69761)(69300,69799)(69300,69800)	Pt	69550	501	0.478608
(69362,69861)(69400,69899)(69400,69900)	Pt	69650	501	0.478909
(69462,69961)(69500,69999)(69500,70000)	Pt	69750	501	0.457807
(69562,70061)(69600,70099)(69600,70100)	Pt	69850	501	0.448502
(69662,70161)(69700,70199)(69700,70200)	Pt	69950	501	0.465144
(69762,70261)(69800,70299)(69800,70300)	Pt	70050	501	0.454247
(69862,70361)(69900,70399)(69900,70400)	Pt	70150	501	0.475588
(69962,70461)(70000,70499)(70000,70500)	Pt	70250	501	0.480097
(70062,70561)(70100,70599)(70100,70600)	Pt	70350	501	0.487844
(70162,70661)(70200,70699)(70200,70700)	Pt	70450	501	0.481453
(70262,70761)(70300,70799)(70300,70800)	Pt	70550	501	0.463022
(70362,70861)(70400,70899)(70400,70900)	Pt	70650	501	0.466634
(70462,70961)(70500,70999)(70500,71000)	Pt	70750	501	0.475401
(70562,71061)(70600,71099)(70600,71100)	Pt	70850	501	0.459211
(70662,71161)(70700,71199)(70700,71200)	Pt	70950	501	0.418821
(70762,71261)(70800,71299)(70800,71300)	Pt	71050	501	0.475002
(70862,71361)(70900,71399)(70900,71400)	Pt	71150	501	0.455142
(70962,71461)(71000,71499)(71000,71500)	Pt	71250	501	0.465299
(71062,71561)(71100,71599)(71100,71600)	Pt	71350	501	0.486053
(71162,71661)(71200,71699)(71200,71700)	Pt	71450	501	0.508964
(71262,71761)(71300,71799)(71300,71800)	Pt	71550	501	0.474303
(71362,71861)(71400,71899)(71400,71900)	Pt	71650	501	0.483670
(71462,71961)(71500,71999)(71500,72000)	Pt	71750	501	0.484766
(71562,72061)(71600,72099)(71600,72100)	Pt	71850	501	0.501135
(71662,72161)(71700,72199)(71700,72200)	Pt	71950	501	0.481058
(71762,72261)(71800,72299)(71800,72300)	Pt	72050	501	0.515011
(71862,72361)(71900,72399)(71900,72400)	Pt	72150	501	0.510244
(71962,72461)(72000,72499)(72000,72500)	Pt	72250	501	0.509667
(72062,72561)(72100,72599)(72100,72600)	Pt	72350	501	0.496528
(72162,72661)(72200,72699)(72200,72700)	Pt	72450	501	0.515862
(72262,72761)(72300,72799)(72300,72800)	Pt	72550	501	0.468003
(72362,72861)(72400,72899)(72400,72900)	Pt	72650	501	0.478210
(72462,72961)(72500,72999)(72500,73000)	Pt	72750	501	0.473419
(72562,73061)(72600,73099)(72600,73100)	Pt	72850	501	0.475497
(72662,73161)(72700,73199)(72700,73200)	Pt	72950	501	0.471513
(72762,73261)(72800,73299)(72800,73300)	Pt	73050	501	0.457970
(72862,73361)(72900,73399)(72900,73400)	Pt	73150	501	0.430844
(72962,73461)(73000,73499)(73000,73500)	Pt	73250	501	0.405047
(73062,73561)(73100,73599)(73100,73600)	Pt	73350	501	0.390191
(73162,73661)(73200,73699)(73200,73700)	Pt	73450	501	0.394510
(73262,73761)(73300,73799)(73300,73800)	Pt	73550	501	0.424229
(73362,73861)(73400,73899)(73400,73900)	Pt	73650	501	0.427244
(73462,73961)(73500,73999)(73500,74000)	Pt	73750	501	0.460134
(73562,74061)(73600,74099)(73600,74100)	Pt	73850	501	0.445351
(73662,74161)(73700,74199)(73700,74200)	Pt	73950	501	0.457878
(73762,74261)(73800,74299)(73800,74300)	Pt	74050	501	0.441937
(73862,74361)(73900,74399)(73900,74400)	Pt	74150	501	0.460546
(73962,74461)(74000,74499)(74000,74500)	Pt	74250	501	0.464201
(74062,74561)(74100,74599)(74100,74600)	Pt	74350	501	0.479417
(74162,74661)(74200,74699)(74200,74700)	Pt	74450	501	0.455312
(74262,74761)(74300,74799)(74300,74800)	Pt	74550	501	0.494388
(74362,74861)(74400,74899)(74400,74900)	Pt	74650	501	0.463982
(74462,74961)(74500,74999)(74500,75000)	Pt	74750	501	0.441129
(74562,75061)(74600,75099)(74600,75100)	Pt	74850	501	0.464799
(74662,75161)(74700,75199)(74700,75200)	Pt	74950	501	0.466712
(74762,75261)(74800,75299)(74800,75300)	Pt	75050	501	0.433934
(74862,75361)(74900,75399)(74900,75400)	Pt	75150	501	0.435513
(74962,75461)(75000,75499)(75000,75500)	Pt	75250	501	0.436948
(75062,75561)(75100,75599)(75100,75600)	Pt	75350	501	0.450160
(75162,75661)(75200,75699)(75200,75700)	Pt	75450	501	0.472339
(75262,75761)(75300,75799)(75300,75800)	Pt	75550	501	0.474940
(75362,75861)(75400,75899)(75400,75900)	Pt	75650	501	0.467520
(75462,75961)(75500,75999)(75500,76000)	Pt	75750	501	0.458954
(75562,76061)(75600,76099)(75600,76100)	Pt	75850	501	0.417427
(75662,76161)(75700,76199)(75700,76200)	Pt	75950	501	0.432834
(75762,76261)(75800,76299)(75800,76300)	Pt	76050	501	0.442268
(75862,76361)(75900,76399)(75900,76400)	Pt	76150	501	0.456178
(75962,76461)(76000,76499)(76000,76500)	Pt	76250	501	0.478755
(76062,76561)(76100,76599)(76100,76600)	Pt	76350	501	0.515607
(76162,76661)(76200,76699)(76200,76700)	Pt	76450	501	0.510835
(76262,76761)(76300,76799)(76300,76800)	Pt	76550	501	0.521024
(76362,76861)(76400,76899)(76400,76900)	Pt	76650	501	0.525887
(76462,76961)(76500,76999)(76500,77000)	Pt	76750	501	0.538606
(76562,77061)(76600,77099)(76600,77100)	Pt	76850	501	0.512604
(76662,77161)(76700,77199)(76700,77200)	Pt	76950	501	0.512634
(76762,77261)(76800,77299)(76800,77300)	Pt	77050	501	0.496719
(76862,77361)(76900,77399)(76900,77400)	Pt	77150	501	0.503857
(76962,77461)(77000,77499)(77000,77500)	Pt	77250	501	0.467248
(77062,77561)(77100,77599)(77100,77600)	Pt	77350	501	0.433773
(77162,77661)(77200,77699)(77200,77700)	Pt	77450	501	0.454754
(77262,77761)(77300,77799)(77300,77800)	Pt	77550	501	0.472164
(77362,77861)(77400,77899)(77400,77900)	Pt	77650	501	0.468844
(77462,77961)(77500,77999)(77500,78000)	Pt	77750	501	0.473974
(77562,78061)(77600,78099)(77600,78100)	Pt	77850	501	0.497114
(77662,78161)(77700,78199)(77700,78200)	Pt	77950	501	0.482921
